"listed_in","total_titles","pct_total_titles"
"Dramas, International Movies",362,4.11
"Documentaries",359,4.08
"Stand-Up Comedy",334,3.79
"Comedies, Dramas, International Movies",274,3.11
"Dramas, Independent Movies, International Movies",252,2.86
"Kids' TV",220,2.50
"Children & Family Movies",215,2.44
"Children & Family Movies, Comedies",201,2.28
"Documentaries, International Movies",186,2.11
"Dramas, International Movies, Romantic Movies",180,2.04
"Comedies, International Movies",176,2.00
"Comedies, International Movies, Romantic Movies",152,1.73
"Dramas",138,1.57
"Dramas, International Movies, Thrillers",134,1.52
"Action & Adventure, Dramas, International Movies",132,1.50
"Action & Adventure",128,1.45
"International TV Shows, TV Dramas",121,1.37
"Comedies, Dramas, Independent Movies",116,1.32
"Crime TV Shows, International TV Shows, TV Dramas",110,1.25
"Comedies",110,1.25
"Action & Adventure, International Movies",101,1.15
"Dramas, Independent Movies",100,1.14
"Kids' TV, TV Comedies",99,1.12
"Reality TV",95,1.08
"International TV Shows, Romantic TV Shows, TV Comedies",94,1.07
"International TV Shows, Romantic TV Shows, TV Dramas",90,1.02
"Anime Series, International TV Shows",88,1.00
"Docuseries",85,0.97
"Dramas, Thrillers",82,0.93
"Documentaries, Music & Musicals",82,0.93
"Comedies, Romantic Movies",80,0.91
"Action & Adventure, Comedies, International Movies",70,0.79
"TV Comedies",69,0.78
"International Movies, Thrillers",67,0.76
"Documentaries, Sports Movies",65,0.74
"Thrillers",65,0.74
"International TV Shows, Korean TV Shows, Romantic TV Shows",65,0.74
"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",62,0.70
"Action & Adventure, Sci-Fi & Fantasy",62,0.70
"Dramas, International Movies, Music & Musicals",57,0.65
"Movies",57,0.65
"Horror Movies, International Movies",57,0.65
"Comedies, International Movies, Music & Musicals",55,0.62
"Horror Movies",55,0.62
"Horror Movies, Thrillers",54,0.61
"Dramas, Romantic Movies",52,0.59
"Action & Adventure, Comedies",51,0.58
"Crime TV Shows, Docuseries",50,0.57
"Horror Movies, International Movies, Thrillers",45,0.51
"Documentaries, International Movies, Sports Movies",44,0.50
"Documentaries, International Movies, Music & Musicals",41,0.47
"International TV Shows, TV Comedies, TV Dramas",40,0.45
"Action & Adventure, Anime Features, International Movies",38,0.43
"Docuseries, Science & Nature TV",38,0.43
"International TV Shows, Reality TV",38,0.43
"TV Dramas",35,0.40
"International TV Shows, TV Comedies",35,0.40
"Action & Adventure, Dramas",34,0.39
"Docuseries, International TV Shows",33,0.37
"Dramas, Independent Movies, Thrillers",31,0.35
"British TV Shows, Docuseries, International TV Shows",30,0.34
"TV Comedies, TV Dramas",30,0.34
"Comedies, Dramas",29,0.33
"Children & Family Movies, Dramas",29,0.33
"Crime TV Shows, Docuseries, International TV Shows",28,0.32
"Action & Adventure, Comedies, Dramas",27,0.31
"British TV Shows, International TV Shows, Reality TV",27,0.31
"Stand-Up Comedy & Talk Shows, TV Comedies",27,0.31
"International TV Shows, TV Dramas, TV Mysteries",26,0.30
"International TV Shows, Spanish-Language TV Shows, TV Dramas",26,0.30
"Comedies, Independent Movies",25,0.28
"British TV Shows, Crime TV Shows, International TV Shows",25,0.28
"Dramas, International Movies, Sports Movies",25,0.28
"British TV Shows, Docuseries, Science & Nature TV",25,0.28
"Dramas, Independent Movies, Romantic Movies",24,0.27
"Anime Series, Kids' TV",23,0.26
"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",23,0.26
"Documentaries, LGBTQ Movies",22,0.25
"Comedies, Independent Movies, International Movies",22,0.25
"International TV Shows, TV Action & Adventure, TV Dramas",21,0.24
"British TV Shows, Crime TV Shows, Docuseries",21,0.24
"British TV Shows, Kids' TV",20,0.23
"Children & Family Movies, Music & Musicals",20,0.23
"Crime TV Shows, International TV Shows, Korean TV Shows",20,0.23
"Dramas, Sports Movies",19,0.22
"Kids' TV, Korean TV Shows",19,0.22
"Comedies, Dramas, Romantic Movies",19,0.22
"International TV Shows, Korean TV Shows, TV Dramas",18,0.20
"Crime TV Shows, International TV Shows, TV Action & Adventure",18,0.20
"Dramas, Faith & Spirituality",18,0.20
"Horror Movies, Independent Movies",18,0.20
"International Movies, Romantic Movies",18,0.20
"International TV Shows, Spanish-Language TV Shows, TV Comedies",17,0.19
"Dramas, Independent Movies, LGBTQ Movies",17,0.19
"British TV Shows, International TV Shows, TV Comedies",17,0.19
"Crime TV Shows, TV Dramas, TV Mysteries",17,0.19
"TV Shows",16,0.18
"Crime TV Shows, TV Dramas",16,0.18
"Horror Movies, Independent Movies, Thrillers",16,0.18
"Children & Family Movies, Comedies, Dramas",16,0.18
